Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2002,Cambodia,KHM,Ireland,IRL,13,0,0,-,0,-,0
2007,Cambodia,KHM,Ireland,IRL,14,0,0,-,0,-,0
2008,Cambodia,KHM,Ireland,IRL,14,0,0,-,0,-,0
2009,Cambodia,KHM,Ireland,IRL,14,0,0,-,0,-,0
2010,Cambodia,KHM,Ireland,IRL,14,0,0,-,0,-,0
2011,Cambodia,KHM,Ireland,IRL,15,0,0,-,0,-,0
2001,Central African Rep.,CAF,Ireland,IRL,7,0,0,-,0,-,0
2002,Central African Rep.,CAF,Ireland,IRL,19,0,0,-,0,-,0
2003,Central African Rep.,CAF,Ireland,IRL,19,0,0,-,0,-,0
2004,Central African Rep.,CAF,Ireland,IRL,19,0,0,-,0,-,0
2005,Central African Rep.,CAF,Ireland,IRL,19,0,0,-,0,-,0
2006,Central African Rep.,CAF,Ireland,IRL,19,0,0,-,0,-,0
2007,Central African Rep.,CAF,Ireland,IRL,7,5,0,-,0,-,0
2008,Central African Rep.,CAF,Ireland,IRL,9,0,0,-,0,-,0
2009,Central African Rep.,CAF,Ireland,IRL,9,0,0,-,0,-,0
2010,Central African Rep.,CAF,Ireland,IRL,9,0,0,-,0,-,0
2013,Central African Rep.,CAF,Ireland,IRL,9,0,0,-,0,-,0
2014,Central African Rep.,CAF,Ireland,IRL,10,0,0,-,0,-,0
2015,Central African Rep.,CAF,Ireland,IRL,10,0,0,-,0,-,0
2016,Central African Rep.,CAF,Ireland,IRL,9,0,0,-,0,-,0
2017,Central African Rep.,CAF,Ireland,IRL,9,0,0,-,0,-,0
2003,Chad,TCD,Ireland,IRL,0,5,0,-,0,-,0
2004,Chad,TCD,Ireland,IRL,0,5,0,-,0,-,0
2005,Chad,TCD,Ireland,IRL,7,0,0,-,0,-,0
2006,Chad,TCD,Ireland,IRL,8,5,0,-,0,-,0
2007,Chad,TCD,Ireland,IRL,9,0,0,-,0,-,0
2008,Chad,TCD,Ireland,IRL,12,0,0,-,0,-,0
2009,Chad,TCD,Ireland,IRL,12,5,0,-,0,-,0
2010,Chad,TCD,Ireland,IRL,12,5,0,-,0,-,0
2011,Chad,TCD,Ireland,IRL,12,0,0,-,0,-,0
2012,Chad,TCD,Ireland,IRL,12,0,0,-,0,-,0
2013,Chad,TCD,Ireland,IRL,0,5,0,-,0,-,0
2017,Chad,TCD,Ireland,IRL,5,0,0,-,0,-,0
2018,Chad,TCD,Ireland,IRL,5,0,0,-,0,-,0
2019,Chad,TCD,Ireland,IRL,5,0,0,-,0,-,0
2020,Chad,TCD,Ireland,IRL,5,0,0,-,0,-,0
2021,Chad,TCD,Ireland,IRL,5,0,0,-,0,-,0
2022,Chad,TCD,Ireland,IRL,5,0,0,-,0,0,0
2001,China,CHN,Ireland,IRL,5,0,0,-,0,-,0
2002,China,CHN,Ireland,IRL,6,0,0,-,0,-,0
2003,China,CHN,Ireland,IRL,18,123,0,-,0,-,0
2004,China,CHN,Ireland,IRL,45,32,0,-,0,-,0
2005,China,CHN,Ireland,IRL,67,0,0,-,0,-,0
2006,China,CHN,Ireland,IRL,75,49,0,-,0,-,0
2007,China,CHN,Ireland,IRL,88,110,0,-,0,-,0
2008,China,CHN,Ireland,IRL,93,79,0,-,0,-,0
2009,China,CHN,Ireland,IRL,95,48,0,-,0,-,0
2010,China,CHN,Ireland,IRL,100,94,0,-,0,-,0
2011,China,CHN,Ireland,IRL,101,77,0,-,0,-,0
2012,China,CHN,Ireland,IRL,93,82,0,-,0,-,0
2013,China,CHN,Ireland,IRL,53,88,0,-,0,-,0
2014,China,CHN,Ireland,IRL,45,49,0,-,0,-,0
2015,China,CHN,Ireland,IRL,53,39,0,-,0,-,0
2016,China,CHN,Ireland,IRL,52,16,0,-,0,-,0
2017,China,CHN,Ireland,IRL,54,65,0,-,0,-,0
2018,China,CHN,Ireland,IRL,54,86,0,-,0,-,0
2019,China,CHN,Ireland,IRL,63,91,0,-,0,-,0
2020,China,CHN,Ireland,IRL,68,88,0,-,0,-,0
2021,China,CHN,Ireland,IRL,71,60,0,-,0,-,0
2022,China,CHN,Ireland,IRL,63,28,0,-,0,0,0
1984,Chile,CHL,Ireland,IRL,60,0,0,-,0,-,0
2011,Chile,CHL,Ireland,IRL,0,5,0,-,0,-,0
2018,Chile,CHL,Ireland,IRL,0,5,0,-,0,-,0
2019,Chile,CHL,Ireland,IRL,0,5,0,-,0,-,0
2020,Chile,CHL,Ireland,IRL,0,5,0,-,0,-,0
2022,Chile,CHL,Ireland,IRL,0,5,0,-,0,0,0
2001,Cameroon,CMR,Ireland,IRL,19,0,0,-,0,-,0
2002,Cameroon,CMR,Ireland,IRL,38,0,0,-,0,-,0
2003,Cameroon,CMR,Ireland,IRL,72,151,0,-,0,-,0
2004,Cameroon,CMR,Ireland,IRL,101,106,0,-,0,-,0
2005,Cameroon,CMR,Ireland,IRL,125,0,0,-,0,-,0
2006,Cameroon,CMR,Ireland,IRL,129,77,0,-,0,-,0
2007,Cameroon,CMR,Ireland,IRL,156,80,0,-,0,-,0
2008,Cameroon,CMR,Ireland,IRL,160,79,0,-,0,-,0
2009,Cameroon,CMR,Ireland,IRL,167,65,0,-,0,-,0
2010,Cameroon,CMR,Ireland,IRL,171,125,0,-,0,-,0
2011,Cameroon,CMR,Ireland,IRL,154,108,0,-,0,-,0
2012,Cameroon,CMR,Ireland,IRL,123,109,0,-,0,-,0
2013,Cameroon,CMR,Ireland,IRL,74,100,0,-,0,-,0
2014,Cameroon,CMR,Ireland,IRL,66,63,0,-,0,-,0
2015,Cameroon,CMR,Ireland,IRL,79,42,0,-,0,-,0
2016,Cameroon,CMR,Ireland,IRL,84,24,0,-,0,-,0
2017,Cameroon,CMR,Ireland,IRL,85,33,0,-,0,-,0
2018,Cameroon,CMR,Ireland,IRL,73,53,0,-,0,-,0
2019,Cameroon,CMR,Ireland,IRL,72,61,0,-,0,-,0
2020,Cameroon,CMR,Ireland,IRL,94,46,0,-,0,-,0
2021,Cameroon,CMR,Ireland,IRL,104,31,0,-,0,-,0
2022,Cameroon,CMR,Ireland,IRL,110,30,0,-,0,0,0
2001,Congo,COG,Ireland,IRL,21,0,0,-,0,-,0
2002,Congo,COG,Ireland,IRL,8,0,0,-,0,-,0
2003,Congo,COG,Ireland,IRL,11,22,0,-,0,-,0
2004,Congo,COG,Ireland,IRL,12,32,0,-,0,-,0
2005,Congo,COG,Ireland,IRL,15,0,0,-,0,-,0
2006,Congo,COG,Ireland,IRL,18,20,0,-,0,-,0
2007,Congo,COG,Ireland,IRL,45,30,0,-,0,-,0
2008,Congo,COG,Ireland,IRL,46,25,0,-,0,-,0
2009,Congo,COG,Ireland,IRL,47,15,0,-,0,-,0
2010,Congo,COG,Ireland,IRL,47,58,0,-,0,-,0
2011,Congo,COG,Ireland,IRL,29,52,0,-,0,-,0
2012,Congo,COG,Ireland,IRL,18,50,0,-,0,-,0
2013,Congo,COG,Ireland,IRL,232,43,0,-,0,-,0
2014,Congo,COG,Ireland,IRL,201,23,0,-,0,-,0
2015,Congo,COG,Ireland,IRL,204,15,0,-,0,-,0
2016,Congo,COG,Ireland,IRL,188,5,0,-,0,-,0
2017,Congo,COG,Ireland,IRL,186,5,0,-,0,-,0
2018,Congo,COG,Ireland,IRL,16,10,0,-,0,-,0
2019,Congo,COG,Ireland,IRL,14,5,0,-,0,-,0
2020,Congo,COG,Ireland,IRL,14,5,0,-,0,-,0
2021,Congo,COG,Ireland,IRL,15,5,0,-,0,-,0
2022,Congo,COG,Ireland,IRL,13,5,0,-,0,0,0
1999,Dem. Rep. of the Congo,COD,Ireland,IRL,83,0,0,-,0,-,0
2000,Dem. Rep. of the Congo,COD,Ireland,IRL,56,0,0,-,0,-,0
2001,Dem. Rep. of the Congo,COD,Ireland,IRL,170,0,0,-,0,-,0
2002,Dem. Rep. of the Congo,COD,Ireland,IRL,352,0,0,-,0,-,0
2003,Dem. Rep. of the Congo,COD,Ireland,IRL,356,364,0,-,0,-,0
2004,Dem. Rep. of the Congo,COD,Ireland,IRL,410,258,0,-,0,-,0
2005,Dem. Rep. of the Congo,COD,Ireland,IRL,443,0,0,-,0,-,0
2006,Dem. Rep. of the Congo,COD,Ireland,IRL,470,158,0,-,0,-,0
2007,Dem. Rep. of the Congo,COD,Ireland,IRL,603,207,0,-,0,-,0
2008,Dem. Rep. of the Congo,COD,Ireland,IRL,601,251,0,-,0,-,0
2009,Dem. Rep. of the Congo,COD,Ireland,IRL,541,173,0,-,0,-,0
2010,Dem. Rep. of the Congo,COD,Ireland,IRL,511,363,0,-,0,-,0
2011,Dem. Rep. of the Congo,COD,Ireland,IRL,412,243,0,-,0,-,0
2012,Dem. Rep. of the Congo,COD,Ireland,IRL,227,268,0,-,0,-,0
2013,Dem. Rep. of the Congo,COD,Ireland,IRL,260,269,0,-,0,-,0
2014,Dem. Rep. of the Congo,COD,Ireland,IRL,345,253,0,-,0,-,0
2015,Dem. Rep. of the Congo,COD,Ireland,IRL,351,195,0,-,0,-,0
2016,Dem. Rep. of the Congo,COD,Ireland,IRL,385,174,0,-,0,-,0
2017,Dem. Rep. of the Congo,COD,Ireland,IRL,396,244,0,-,0,-,0
2018,Dem. Rep. of the Congo,COD,Ireland,IRL,302,278,0,-,0,-,0
2019,Dem. Rep. of the Congo,COD,Ireland,IRL,376,222,0,-,0,-,0
2020,Dem. Rep. of the Congo,COD,Ireland,IRL,435,178,0,-,0,-,0
2021,Dem. Rep. of the Congo,COD,Ireland,IRL,458,132,0,-,0,-,0
2022,Dem. Rep. of the Congo,COD,Ireland,IRL,427,215,0,-,0,0,0
2021,Colombia,COL,Ireland,IRL,0,5,0,-,0,-,0
1999,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2000,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2001,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2002,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2003,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2004,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2005,Cuba,CUB,Ireland,IRL,8,0,0,-,0,-,0
2006,Cuba,CUB,Ireland,IRL,8,0,0,-,0,-,0
2007,Cuba,CUB,Ireland,IRL,11,0,0,-,0,-,0
2008,Cuba,CUB,Ireland,IRL,10,0,0,-,0,-,0
2009,Cuba,CUB,Ireland,IRL,8,0,0,-,0,-,0
2010,Cuba,CUB,Ireland,IRL,7,0,0,-,0,-,0
2011,Cuba,CUB,Ireland,IRL,7,0,0,-,0,-,0
2012,Cuba,CUB,Ireland,IRL,7,0,0,-,0,-,0
2013,Cuba,CUB,Ireland,IRL,22,0,0,-,0,-,0
2014,Cuba,CUB,Ireland,IRL,22,0,0,-,0,-,0
2015,Cuba,CUB,Ireland,IRL,22,0,0,-,0,-,0
2016,Cuba,CUB,Ireland,IRL,22,0,0,-,0,-,0
2017,Cuba,CUB,Ireland,IRL,22,5,0,-,0,-,0
2018,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2019,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2020,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2021,Cuba,CUB,Ireland,IRL,5,0,0,-,0,-,0
2022,Cuba,CUB,Ireland,IRL,6,0,0,-,0,0,0
2013,Cabo Verde,CPV,Ireland,IRL,0,5,0,-,0,-,0
2014,Cabo Verde,CPV,Ireland,IRL,0,5,0,-,0,-,0
2000,Czechia,CZE,Ireland,IRL,5,0,0,-,0,-,0
2001,Czechia,CZE,Ireland,IRL,31,0,0,-,0,-,0
2002,Czechia,CZE,Ireland,IRL,80,0,0,-,0,-,0
2003,Czechia,CZE,Ireland,IRL,102,125,0,-,0,-,0
2004,Czechia,CZE,Ireland,IRL,125,0,0,-,0,-,0
2005,Czechia,CZE,Ireland,IRL,125,0,0,-,0,-,0
2006,Czechia,CZE,Ireland,IRL,125,0,0,-,0,-,0
2007,Czechia,CZE,Ireland,IRL,125,0,0,-,0,-,0
2008,Czechia,CZE,Ireland,IRL,125,0,0,-,0,-,0
2009,Czechia,CZE,Ireland,IRL,125,0,0,-,0,-,0
2010,Czechia,CZE,Ireland,IRL,120,0,0,-,0,-,0
2011,Czechia,CZE,Ireland,IRL,94,0,0,-,0,-,0
2012,Czechia,CZE,Ireland,IRL,45,0,0,-,0,-,0
2013,Czechia,CZE,Ireland,IRL,102,0,0,-,0,-,0
2014,Czechia,CZE,Ireland,IRL,100,0,0,-,0,-,0
2015,Czechia,CZE,Ireland,IRL,100,0,0,-,0,-,0
2022,Dominica,DMA,Ireland,IRL,0,5,0,-,0,0,0
2019,Dominican Rep.,DOM,Ireland,IRL,0,5,0,-,0,-,0
2022,Dominican Rep.,DOM,Ireland,IRL,0,5,0,-,0,0,0
2000,Eritrea,ERI,Ireland,IRL,5,0,0,-,0,-,0
2001,Eritrea,ERI,Ireland,IRL,7,0,0,-,0,-,0
2002,Eritrea,ERI,Ireland,IRL,7,0,0,-,0,-,0
2003,Eritrea,ERI,Ireland,IRL,8,21,0,-,0,-,0
2004,Eritrea,ERI,Ireland,IRL,21,29,0,-,0,-,0
2005,Eritrea,ERI,Ireland,IRL,48,0,0,-,0,-,0
2006,Eritrea,ERI,Ireland,IRL,55,35,0,-,0,-,0
2007,Eritrea,ERI,Ireland,IRL,85,51,0,-,0,-,0
2008,Eritrea,ERI,Ireland,IRL,105,53,0,-,0,-,0
2009,Eritrea,ERI,Ireland,IRL,118,23,0,-,0,-,0
2010,Eritrea,ERI,Ireland,IRL,121,44,0,-,0,-,0
2011,Eritrea,ERI,Ireland,IRL,119,39,0,-,0,-,0
2012,Eritrea,ERI,Ireland,IRL,119,38,0,-,0,-,0
2013,Eritrea,ERI,Ireland,IRL,39,48,0,-,0,-,0
2014,Eritrea,ERI,Ireland,IRL,42,28,0,-,0,-,0
2015,Eritrea,ERI,Ireland,IRL,45,11,0,-,0,-,0
2016,Eritrea,ERI,Ireland,IRL,47,5,0,-,0,-,0
2017,Eritrea,ERI,Ireland,IRL,48,8,0,-,0,-,0
2018,Eritrea,ERI,Ireland,IRL,47,32,0,-,0,-,0
2019,Eritrea,ERI,Ireland,IRL,69,13,0,-,0,-,0
2020,Eritrea,ERI,Ireland,IRL,84,10,0,-,0,-,0
2021,Eritrea,ERI,Ireland,IRL,96,15,0,-,0,-,0
2022,Eritrea,ERI,Ireland,IRL,104,30,0,-,0,0,0
2003,Estonia,EST,Ireland,IRL,10,22,0,-,0,-,0
2004,Estonia,EST,Ireland,IRL,12,0,0,-,0,-,0
2005,Estonia,EST,Ireland,IRL,12,0,0,-,0,-,0
2006,Estonia,EST,Ireland,IRL,12,0,0,-,0,-,0
2007,Estonia,EST,Ireland,IRL,12,0,0,-,0,-,0
2008,Estonia,EST,Ireland,IRL,12,0,0,-,0,-,0
2009,Estonia,EST,Ireland,IRL,12,0,0,-,0,-,0
2010,Estonia,EST,Ireland,IRL,12,0,0,-,0,-,0
2011,Estonia,EST,Ireland,IRL,12,0,0,-,0,-,0
2012,Estonia,EST,Ireland,IRL,12,0,0,-,0,-,0
2013,Estonia,EST,Ireland,IRL,7,0,0,-,0,-,0
2014,Estonia,EST,Ireland,IRL,7,0,0,-,0,-,0
2015,Estonia,EST,Ireland,IRL,7,0,0,-,0,-,0
1999,Ethiopia,ETH,Ireland,IRL,5,0,0,-,0,-,0
2000,Ethiopia,ETH,Ireland,IRL,6,0,0,-,0,-,0
2001,Ethiopia,ETH,Ireland,IRL,7,0,0,-,0,-,0
2002,Ethiopia,ETH,Ireland,IRL,10,0,0,-,0,-,0
2003,Ethiopia,ETH,Ireland,IRL,27,12,0,-,0,-,0
2004,Ethiopia,ETH,Ireland,IRL,31,31,0,-,0,-,0
2005,Ethiopia,ETH,Ireland,IRL,42,0,0,-,0,-,0
2006,Ethiopia,ETH,Ireland,IRL,53,29,0,-,0,-,0
2007,Ethiopia,ETH,Ireland,IRL,52,33,0,-,0,-,0
2008,Ethiopia,ETH,Ireland,IRL,58,17,0,-,0,-,0
2009,Ethiopia,ETH,Ireland,IRL,65,13,0,-,0,-,0
2010,Ethiopia,ETH,Ireland,IRL,64,33,0,-,0,-,0
2011,Ethiopia,ETH,Ireland,IRL,64,32,0,-,0,-,0
2012,Ethiopia,ETH,Ireland,IRL,58,34,0,-,0,-,0
2013,Ethiopia,ETH,Ireland,IRL,29,27,0,-,0,-,0
2014,Ethiopia,ETH,Ireland,IRL,41,16,0,-,0,-,0
2015,Ethiopia,ETH,Ireland,IRL,38,18,0,-,0,-,0
2016,Ethiopia,ETH,Ireland,IRL,42,0,0,-,0,-,0
2017,Ethiopia,ETH,Ireland,IRL,42,10,0,-,0,-,0
2018,Ethiopia,ETH,Ireland,IRL,32,18,0,-,0,-,0
2019,Ethiopia,ETH,Ireland,IRL,34,16,0,-,0,-,0
2020,Ethiopia,ETH,Ireland,IRL,36,19,0,-,0,-,0
2021,Ethiopia,ETH,Ireland,IRL,58,23,0,-,0,-,0
2022,Ethiopia,ETH,Ireland,IRL,90,63,0,-,0,0,0
2003,Gambia,GMB,Ireland,IRL,5,9,0,-,0,-,0
2004,Gambia,GMB,Ireland,IRL,5,5,0,-,0,-,0
2005,Gambia,GMB,Ireland,IRL,5,0,0,-,0,-,0
2006,Gambia,GMB,Ireland,IRL,6,5,0,-,0,-,0
2007,Gambia,GMB,Ireland,IRL,7,10,0,-,0,-,0
2008,Gambia,GMB,Ireland,IRL,7,5,0,-,0,-,0
2009,Gambia,GMB,Ireland,IRL,7,0,0,-,0,-,0
2010,Gambia,GMB,Ireland,IRL,7,9,0,-,0,-,0
2011,Gambia,GMB,Ireland,IRL,5,9,0,-,0,-,0
2012,Gambia,GMB,Ireland,IRL,5,9,0,-,0,-,0
2013,Gambia,GMB,Ireland,IRL,0,5,0,-,0,-,0
2014,Gambia,GMB,Ireland,IRL,0,5,0,-,0,-,0
2015,Gambia,GMB,Ireland,IRL,0,5,0,-,0,-,0
2016,Gambia,GMB,Ireland,IRL,5,0,0,-,0,-,0
2017,Gambia,GMB,Ireland,IRL,5,5,0,-,0,-,0
2018,Gambia,GMB,Ireland,IRL,0,10,0,-,0,-,0
2019,Gambia,GMB,Ireland,IRL,0,5,0,-,0,-,0
2020,Gambia,GMB,Ireland,IRL,0,10,0,-,0,-,0
2021,Gambia,GMB,Ireland,IRL,0,6,0,-,0,-,0
2022,Gambia,GMB,Ireland,IRL,5,5,0,-,0,0,0
1999,Palestinian,PSE,Ireland,IRL,5,0,0,-,0,-,0
2000,Palestinian,PSE,Ireland,IRL,8,0,0,-,0,-,0
2001,Palestinian,PSE,Ireland,IRL,9,0,0,-,0,-,0
2002,Palestinian,PSE,Ireland,IRL,23,0,0,-,0,-,0
2003,Palestinian,PSE,Ireland,IRL,32,33,0,-,0,-,0
2004,Palestinian,PSE,Ireland,IRL,59,32,0,-,0,-,0
2005,Palestinian,PSE,Ireland,IRL,73,0,0,-,0,-,0
2006,Palestinian,PSE,Ireland,IRL,81,34,0,-,0,-,0
2007,Palestinian,PSE,Ireland,IRL,95,47,0,-,0,-,0
2008,Palestinian,PSE,Ireland,IRL,112,39,0,-,0,-,0
2009,Palestinian,PSE,Ireland,IRL,116,24,0,-,0,-,0
2010,Palestinian,PSE,Ireland,IRL,120,31,0,-,0,-,0
2011,Palestinian,PSE,Ireland,IRL,127,23,0,-,0,-,0
2012,Palestinian,PSE,Ireland,IRL,119,29,0,-,0,-,0
2013,Palestinian,PSE,Ireland,IRL,82,16,0,-,0,-,0
2014,Palestinian,PSE,Ireland,IRL,84,10,0,-,0,-,0
2015,Palestinian,PSE,Ireland,IRL,89,10,0,-,0,-,0
2016,Palestinian,PSE,Ireland,IRL,90,12,0,-,0,-,0
2017,Palestinian,PSE,Ireland,IRL,94,26,0,-,0,-,0
2018,Palestinian,PSE,Ireland,IRL,78,46,0,-,0,-,0
2019,Palestinian,PSE,Ireland,IRL,117,52,0,-,0,-,0
2020,Palestinian,PSE,Ireland,IRL,138,32,0,-,0,-,0
2021,Palestinian,PSE,Ireland,IRL,130,24,0,-,0,-,0
2022,Palestinian,PSE,Ireland,IRL,130,38,0,-,0,0,0
2003,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2004,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2005,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2006,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2007,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2008,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2009,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2010,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2011,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2012,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,8,0,0,-,0,-,0
2019,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,0,5,0,-,0,-,0
2022,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL,0,6,0,-,0,0,0
2001,Georgia,GEO,Ireland,IRL,7,0,0,-,0,-,0
2002,Georgia,GEO,Ireland,IRL,30,0,0,-,0,-,0
2003,Georgia,GEO,Ireland,IRL,51,160,0,-,0,-,0
2004,Georgia,GEO,Ireland,IRL,74,146,0,-,0,-,0
2005,Georgia,GEO,Ireland,IRL,119,0,0,-,0,-,0
2006,Georgia,GEO,Ireland,IRL,145,135,0,-,0,-,0
2007,Georgia,GEO,Ireland,IRL,159,179,0,-,0,-,0
2008,Georgia,GEO,Ireland,IRL,165,214,0,-,0,-,0
2009,Georgia,GEO,Ireland,IRL,169,52,0,-,0,-,0
2010,Georgia,GEO,Ireland,IRL,172,199,0,-,0,-,0
2011,Georgia,GEO,Ireland,IRL,168,179,0,-,0,-,0
2012,Georgia,GEO,Ireland,IRL,150,172,0,-,0,-,0
2013,Georgia,GEO,Ireland,IRL,72,157,0,-,0,-,0
2014,Georgia,GEO,Ireland,IRL,70,76,0,-,0,-,0
2015,Georgia,GEO,Ireland,IRL,75,75,0,-,0,-,0
2016,Georgia,GEO,Ireland,IRL,70,89,0,-,0,-,0
2017,Georgia,GEO,Ireland,IRL,70,367,0,-,0,-,0
2018,Georgia,GEO,Ireland,IRL,66,648,0,-,0,-,0
2019,Georgia,GEO,Ireland,IRL,92,828,0,-,0,-,0
2020,Georgia,GEO,Ireland,IRL,132,646,0,-,0,-,0
2021,Georgia,GEO,Ireland,IRL,152,801,0,-,0,-,0
2022,Georgia,GEO,Ireland,IRL,214,3016,0,-,0,0,0
2001,Ghana,GHA,Ireland,IRL,5,0,0,-,0,-,0
2002,Ghana,GHA,Ireland,IRL,13,0,0,-,0,-,0
2003,Ghana,GHA,Ireland,IRL,25,156,0,-,0,-,0
2004,Ghana,GHA,Ireland,IRL,39,47,0,-,0,-,0
2005,Ghana,GHA,Ireland,IRL,44,0,0,-,0,-,0
2006,Ghana,GHA,Ireland,IRL,46,72,0,-,0,-,0
2007,Ghana,GHA,Ireland,IRL,49,96,0,-,0,-,0
2008,Ghana,GHA,Ireland,IRL,52,102,0,-,0,-,0
2009,Ghana,GHA,Ireland,IRL,56,82,0,-,0,-,0
2010,Ghana,GHA,Ireland,IRL,59,197,0,-,0,-,0
2011,Ghana,GHA,Ireland,IRL,54,162,0,-,0,-,0
2012,Ghana,GHA,Ireland,IRL,46,127,0,-,0,-,0
2013,Ghana,GHA,Ireland,IRL,25,119,0,-,0,-,0
2014,Ghana,GHA,Ireland,IRL,18,62,0,-,0,-,0
2015,Ghana,GHA,Ireland,IRL,20,48,0,-,0,-,0
2016,Ghana,GHA,Ireland,IRL,26,33,0,-,0,-,0
2017,Ghana,GHA,Ireland,IRL,26,47,0,-,0,-,0
2018,Ghana,GHA,Ireland,IRL,22,64,0,-,0,-,0
2019,Ghana,GHA,Ireland,IRL,24,74,0,-,0,-,0
2020,Ghana,GHA,Ireland,IRL,31,77,0,-,0,-,0
2021,Ghana,GHA,Ireland,IRL,36,70,0,-,0,-,0
2022,Ghana,GHA,Ireland,IRL,35,87,0,-,0,0,0
2007,Guinea-Bissau,GNB,Ireland,IRL,5,0,0,-,0,-,0
2008,Guinea-Bissau,GNB,Ireland,IRL,5,5,0,-,0,-,0
2009,Guinea-Bissau,GNB,Ireland,IRL,5,0,0,-,0,-,0
2010,Guinea-Bissau,GNB,Ireland,IRL,5,5,0,-,0,-,0
2011,Guinea-Bissau,GNB,Ireland,IRL,5,5,0,-,0,-,0
2012,Guinea-Bissau,GNB,Ireland,IRL,0,5,0,-,0,-,0
2017,Guatemala,GTM,Ireland,IRL,0,5,0,-,0,-,0
2018,Guatemala,GTM,Ireland,IRL,0,5,0,-,0,-,0
2019,Guatemala,GTM,Ireland,IRL,0,11,0,-,0,-,0
2020,Guatemala,GTM,Ireland,IRL,5,15,0,-,0,-,0
2021,Guatemala,GTM,Ireland,IRL,5,10,0,-,0,-,0
2022,Guatemala,GTM,Ireland,IRL,11,20,0,-,0,0,0
2002,Guinea,GIN,Ireland,IRL,8,0,0,-,0,-,0
2003,Guinea,GIN,Ireland,IRL,10,18,0,-,0,-,0
2004,Guinea,GIN,Ireland,IRL,21,30,0,-,0,-,0
2005,Guinea,GIN,Ireland,IRL,42,0,0,-,0,-,0
2006,Guinea,GIN,Ireland,IRL,46,33,0,-,0,-,0
2007,Guinea,GIN,Ireland,IRL,55,34,0,-,0,-,0
2008,Guinea,GIN,Ireland,IRL,59,33,0,-,0,-,0
2009,Guinea,GIN,Ireland,IRL,63,27,0,-,0,-,0
2010,Guinea,GIN,Ireland,IRL,65,43,0,-,0,-,0
2011,Guinea,GIN,Ireland,IRL,64,38,0,-,0,-,0
2012,Guinea,GIN,Ireland,IRL,58,38,0,-,0,-,0
2013,Guinea,GIN,Ireland,IRL,17,33,0,-,0,-,0
2014,Guinea,GIN,Ireland,IRL,20,12,0,-,0,-,0
2015,Guinea,GIN,Ireland,IRL,22,10,0,-,0,-,0
2016,Guinea,GIN,Ireland,IRL,18,0,0,-,0,-,0
2017,Guinea,GIN,Ireland,IRL,17,0,0,-,0,-,0
2018,Guinea,GIN,Ireland,IRL,14,0,0,-,0,-,0
2019,Guinea,GIN,Ireland,IRL,16,0,0,-,0,-,0
2020,Guinea,GIN,Ireland,IRL,16,9,0,-,0,-,0
2021,Guinea,GIN,Ireland,IRL,17,12,0,-,0,-,0
2022,Guinea,GIN,Ireland,IRL,14,5,0,-,0,0,0
2006,Guyana,GUY,Ireland,IRL,0,5,0,-,0,-,0
2007,Guyana,GUY,Ireland,IRL,0,5,0,-,0,-,0
2010,Guyana,GUY,Ireland,IRL,0,5,0,-,0,-,0
2011,Guyana,GUY,Ireland,IRL,0,5,0,-,0,-,0
2012,Guyana,GUY,Ireland,IRL,0,5,0,-,0,-,0
2013,Guyana,GUY,Ireland,IRL,0,6,0,-,0,-,0
2014,Guyana,GUY,Ireland,IRL,0,5,0,-,0,-,0
2016,Guyana,GUY,Ireland,IRL,0,5,0,-,0,-,0
2017,Guyana,GUY,Ireland,IRL,0,5,0,-,0,-,0
2018,Guyana,GUY,Ireland,IRL,0,6,0,-,0,-,0
2019,Guyana,GUY,Ireland,IRL,0,5,0,-,0,-,0
